id,name,flag,vessel_type_id,length_overall,vessel_status_id,width,gross_tonnage,depth,engine_power,cluster
4101,Liafjord,NO,2,71.0,1,15.0,2692.0,8.5,1000.0,4
219,Havdrøn,NO,2,61.0,1,11.6,1102.0,7.0,2610.0,4
228,Roaldsen,NO,2,59.0,1,10.9,1183.0,8.0,2431.0,4
186,Fonnes,NO,2,58.0,1,12.8,1306.0,8.0,2720.0,4
142,Nybo,NO,2,56.0,1,13.3,1600.0,9.0,4000.0,4
169,Bøen,NO,2,56.0,1,12.0,1200.0,,1987.0,4
178,Fiskebank,NO,2,53.0,1,12.4,1188.0,8.0,3700.0,4
759,Grimsholm,NO,2,50.0,1,11.0,854.0,7.0,3672.0,4
197,Ran,FO,2,65.0,1,12.6,1651.0,8.2,3132.0,4
3313,Tor-On,DK,2,50.0,1,13.2,1310.0,8.0,2999.0,4
1575,Lingbank,DK,2,50.0,1,13.2,1306.0,8.0,2920.0,4
310,Junior,DK,2,56.0,1,12.0,1198.0,8.0,3840.0,4
373,Themis,DK,2,63.0,1,12.8,1568.0,8.0,2999.0,4
167,Sjøbris,NO,2,70.4,1,12.0,1559.0,8.0,2237.0,4
258,Jona Edvalds,IS,2,71.0,1,12.0,1741.0,,3000.0,4
738,Sighvatur Bjarnason VE81,IS,2,67.0,1,11.0,1395.0,,4325.0,4
364,Suðurey,IS,2,63.0,1,12.8,1337.0,,2999.0,4
225,Røttingøy,NO,2,59.0,1,12.0,1327.0,8.0,3042.0,4
14,Tummas T,FO,2,64.0,1,13.0,1514.0,9.0,3460.0,4
212,Elisabeth,NO,2,61.0,1,11.5,1099.0,6.0,2685.0,4
193,Harald Johan,NO,2,63.0,1,12.0,1492.0,6.0,2431.0,4
346,Gambler,NO,2,70.0,1,10.0,1309.0,7.0,3042.0,4
181,Sæbjørn,NO,2,66.0,1,12.6,1742.0,8.0,3579.0,4
182,Vestfart,NO,2,64.0,1,13.0,1517.0,9.0,3505.0,4
183,Fiskebas,NO,2,64.0,1,14.0,1899.0,9.0,2312.0,4
200,Talbor,NO,2,64.0,1,13.0,1514.0,9.0,3579.0,4
210,Trygvason,NO,2,64.0,1,12.0,1464.0,,4325.0,4
220,Svanaug Elise,NO,2,64.0,1,13.8,1867.0,9.0,3000.0,4
229,Hargo,NO,2,62.0,1,11.6,1190.0,6.0,2796.0,4
177,Ingrid Majala,NO,2,63.0,1,12.8,1401.0,8.0,2999.0,4
213,Bømmelbas,NO,2,62.0,1,12.0,1206.0,7.0,2796.0,4
211,Lønningen,NO,2,62.0,1,11.6,1169.0,6.0,3482.0,4
227,Havglans,NO,2,63.0,1,12.8,1363.0,8.0,2999.0,4
113,Sjarmør,NO,2,62.0,1,11.0,1192.0,7.0,2796.0,4
226,Krossfjord,NO,2,62.0,1,13.2,1526.0,,3060.0,4
