latitude,longitude
50.399069,-3.480276
50.409165,-3.496997
50.444485,-3.511077
50.461854,-3.476756
50.505531,-3.499637
50.606169,-3.413394
50.601143,-3.352673
50.62348,-3.298991
50.665334,-3.25323
50.682065,-3.099226
50.689871,-3.017384
50.726702,-2.904425
50.69661,-2.733701
50.580521,-2.487294
50.558723,-2.457375
50.509499,-2.461775
50.518453,-2.436255
50.546422,-2.412494
50.564872,-2.416014
50.574933,-2.439775
50.578845,-2.455615
50.592255,-2.457375
50.598959,-2.444175
50.612363,-2.440655
50.633578,-2.417774
50.60957,-2.193621
50.587784,-2.073058
50.577726,-2.064258
50.573255,-2.045777
50.584432,-2.022016
50.588902,-1.951614
50.616271,-1.943694
50.642507,-1.918174
50.655899,-1.941934
50.685459,-1.934014
50.70732,-1.891661
50.708435,-1.745577
50.730721,-1.720057
50.711221,-1.579253
50.662022,-1.587275
50.659928,-1.49312
50.569787,-1.303156
50.591814,-1.167704
50.641075,-1.161097
50.663069,-1.093371
50.684006,-1.063637
50.728989,-1.111541
50.766615,-1.152837
50.780195,-1.025644
50.765571,-0.895148
50.715394,-0.77291
50.766615,-0.720051
50.792178,-0.524767
50.818276,-0.253863
50.728439,0.263168
50.78278,0.337501
50.813058,0.378798
50.834971,0.529117
50.850617,0.661265
50.924603,0.771939
50.901539,0.978034
50.919245,0.994553
50.975445,0.97473
51.03677,1.029242
51.076224,1.209294
51.122904,1.357961
51.159177,1.412472
51.258524,1.405865
51.308116,1.376131
51.3267,1.438902
51.382405,1.458724
51.398898,1.433946
51.370032,1.024286
51.352498,0.954908
51.391683,0.954908
51.418475,0.908656
51.454898,0.736336
51.48371,0.675218
51.491991,0.494726
51.512556,0.638437
51.531057,0.651652
51.516668,0.793712
51.611139,0.967156
51.641903,0.945682
51.763002,0.947318
51.770158,1.191792
51.862062,1.315681
51.914058,1.294207
51.951743,1.365237
52.082811,1.588482
52.188256,1.636386
52.310625,1.687593
52.484995,1.77349
52.686722,1.735497
52.853419,1.571391
52.958028,1.226153
52.983893,0.871004
52.977925,0.500989
52.869376,0.408485
52.834462,0.317633
52.875358,0.187136
52.924182,0.089677
53.091163,0.347366
53.203114,0.365536
53.495046,0.167545
53.613784,-0.060411
53.600062,0.165893
53.659815,0.137811
53.913549,-0.143004
54.034991,-0.199167
54.094456,-0.153606
54.112858,-0.05945
54.140929,-0.115613
54.18445,-0.257673
54.215663,-0.257676
54.243895,-0.342198
54.277027,-0.387127
54.290305,-0.382072
54.305053,-0.406502
54.349121,-0.420825
54.404896,-0.47789
54.416009,-0.50934
54.435612,-0.526189
54.445737,-0.518888
54.475769,-0.561008
54.489258,-0.586117
54.50524,-0.668954
54.514858,-0.672043
54.536043,-0.715287
54.532296,-0.740559
54.542562,-0.74925
54.559336,-0.776488
54.573337,-0.853709
54.633228,-1.087703
54.736391,-1.22699
55.014374,-1.383687
55.248286,-1.514268
55.576909,-1.601323
55.658025,-1.736257
55.866186,-2.032241
55.942389,-2.171122
55.974065,-2.349583
56.068939,-2.64992
56.071368,-2.832734
55.986242,-3.067781
56.015449,-3.294122
56.173273,-2.941552
56.166003,-2.797913
56.262822,-2.554161
56.378683,-2.763091
56.450917,-2.74568
56.578196,-2.475812
56.755066,-2.403768
56.87181,-2.18178
56.971587,-2.164369
57.13729,-2.016377
57.189215,-2.03814
57.469176,-1.751067
57.653622,-1.825063
57.718772,-2.02964
57.721096,-2.878418
57.688538,-3.026411
57.742011,-3.3311
57.602351,-4.023181
57.85111,-3.757506
57.878893,-3.770564
57.897404,-3.975141
58.04284,-3.783622
58.24042,-3.357057
58.368488,-3.087189
58.650507,-3.01036
59.396486,-2.331338
59.398702,-3.062593
59.111657,-3.375988
58.869476,-3.4761
58.740971,-3.249759
58.630121,-3.471747
58.609722,-3.920077
58.607455,-4.668743
58.634652,-5.077897
57.979595,-5.588834
58.564138,-6.233847
58.21663,-7.174213
57.843426,-7.143921
57.634929,-7.563948
57.449157,-7.472818
56.922968,-7.559391
56.958067,-7.242845
57.590697,-7.066192
57.764178,-6.855982
58.030136,-6.291559
58.370552,-6.058246
57.974345,-5.616135
57.847167,-5.842476
57.600788,-5.946941
57.740454,-6.356096
57.469948,-6.865363
57.32454,-6.695607
57.183273,-6.403975
56.907455,-5.952172
56.720752,-6.25476
56.301839,-6.45832
56.205137,-5.88816
55.721683,-6.60337
55.537809,-6.249996
55.798446,-5.738346
55.313023,-5.88689
55.262896,-5.606308
55.406839,-5.37524
55.419331,-5.133169
55.631093,-4.957117
55.497317,-4.753558
55.203289,-4.973622
54.963964,-5.254204
54.615209,-4.977662
54.62158,-4.801611
54.809079,-4.851125
54.637504,-4.35598
54.793223,-4.284459
54.748793,-4.042388
54.834436,-3.64077
54.913573,-3.409703
54.522717,-3.657275
54.422521,-4.522997
54.104898,-4.852959
54.015238,-4.755192
54.061886,-4.57188
54.215809,-4.296912
54.340673,-4.26636
54.433185,-4.290802
54.504205,-3.6431
54.094149,-3.288696
54.065472,-3.142047
54.115645,-2.915962
53.939774,-3.056501
53.715891,-3.095141
53.43289,-3.168466
53.370959,-3.241791
53.334487,-3.736733
53.370959,-3.99337
53.440171,-4.317221
53.414685,-4.592189
53.294332,-4.738839
53.177301,-4.647183
53.085648,-4.421098
52.791043,-4.806053
52.750378,-4.720508
52.754076,-4.573858
52.879635,-4.213345
52.705973,-4.14613
52.461527,-4.116417
52.27872,-4.256956
52.155179,-4.593028
52.053844,-4.93521
51.982396,-5.173516
51.865578,-5.369049
51.71061,-5.277393
51.566505,-5.051308
51.68031,-4.550255
51.536109,-4.330281
51.574101,-3.908663
51.376195,-3.578701
51.395262,-3.034876
51.242506,-3.059317
51.261628,-3.499266
51.215721,-4.208073
51.075649,-4.287564
51.033399,-4.5442
50.790681,-4.617525
50.616535,-4.886383
50.535046,-5.069695
50.437851,-5.112468
50.328755,-5.253007
50.250675,-5.411877
50.227226,-5.552416
50.141149,-5.75406
50.015668,-5.75406
50.019594,-5.289669
49.925276,-5.228565
49.992104,-5.051364
50.098052,-5.026922
50.219408,-4.819168
50.285827,-4.641967
50.297538,-4.244791
50.250675,-3.951492
50.180294,-3.633751
50.375541,-3.480991
