latitude,longitude
52.240864,-6.311212
52.346847,-6.334317
52.565076,-6.14948
52.642252,-6.172585
52.754265,-6.114823
52.984386,-5.964643
53.285864,-6.080166
53.392777,-6.028181
53.578372,-6.062838
53.862058,-6.230346
53.933531,-6.253451
54.055772,-5.912658
54.221579,-5.681611
54.312658,-5.456341
54.497569,-5.415908
54.816974,-5.650071
54.979725,-5.89267
55.217678,-6.048626
55.270364,-6.504942
55.194605,-6.86884
55.257199,-6.926602
55.395214,-7.348261
55.38209,-7.452232
55.319694,-7.475337
55.286814,-7.752592
55.184713,-8.151147
55.164922,-8.347536
55.029415,-8.572806
54.853567,-8.601687
54.70032,-8.832733
54.6101,-8.809629
54.56324,-8.312879
54.408893,-8.659449
54.307918,-8.786524
54.358437,-10.028398
54.125537,-10.276772
53.884512,-10.270996
53.830004,-10.126592
53.618113,-10.322982
53.46709,-10.207459
53.343125,-10.155473
53.204962,-9.785799
53.170362,-9.341354
52.930788,-9.531967
52.773826,-9.560848
52.584721,-9.942074
52.412417,-9.982507
52.180569,-10.510687
51.799981,-10.441374
51.542061,-10.233432
51.426958,-9.840653
51.387325,-9.49986
51.534876,-8.766288
51.746369,-8.182896
51.903451,-7.72658
52.059985,-7.460877
52.162857,-6.311422
