latitude,longitude
58.991142,11.090948
58.985891,11.047639
58.999453,11.029806
59.015195,11.023862
59.028744,10.989045
59.037046,10.965267
59.029181,10.944038
59.040978,10.928752
59.061504,10.890539
59.072417,10.837889
59.10121,10.816659
59.127365,10.84723
59.14087,10.892237
59.174393,10.887142
59.163948,10.845531
59.150452,10.833643
59.15437,10.816659
59.18614,10.798826
59.193969,10.762311
59.230431,10.729384
59.270809,10.720043
59.302904,10.749764
59.302904,10.703908
59.316442,10.669242
59.415381,10.632566
59.417823,10.582422
59.440096,10.582422
59.45099,10.607579
59.465668,10.615033
59.48791,10.621555
59.494532,10.6346
59.518645,10.629009
59.525734,10.653235
59.5954,10.637045
59.555294,10.612819
59.534041,10.560641
59.515139,10.477715
59.524119,10.410629
59.555294,10.411561
59.526954,10.391062
59.526009,10.358451
59.551989,10.264344
59.508048,10.306273
59.47541,10.339816
59.484874,10.34727
59.473517,10.361246
59.443688,10.38454
59.453634,10.404107
59.44653,10.42181
59.456475,10.43765
59.450792,10.495418
59.419047,10.501941
59.380154,10.48051
59.368762,10.472125
59.328861,10.501941
59.32078,10.529893
59.294147,10.524303
59.287481,10.509137
59.265583,10.507273
59.247484,10.483979
59.217455,10.467208
59.186446,10.478389
59.149915,10.456183
59.064283,10.457115
59.051827,10.404005
59.1088,10.375121
59.132232,10.367667
59.130798,10.338782
59.119323,10.309898
59.055181,10.319216
59.05039,10.299649
59.104495,10.277287
59.04368,10.283809
59.03649,10.265174
59.099232,10.238153
59.030258,10.235358
59.000646,10.133382
59.013601,10.113815
58.999687,10.090521
59.029907,10.043934
58.976311,10.059465
58.966225,9.995175
58.971508,9.981198
58.96094,9.970017
58.956136,9.942065
58.961421,9.911317
58.968626,9.87591
58.956136,9.857275
58.973429,9.806029
59.006551,9.836777
58.985434,9.791121
58.992634,9.72124
58.978712,9.711922
58.912505,9.573757
58.885552,9.594255
58.833513,9.498285
58.849422,9.449834
58.829173,9.470332
58.812772,9.416291
58.809394,9.44238
58.778981,9.386475
58.743223,9.31473
58.673535,9.213169
58.5838,9.070611
58.507952,8.950415
58.429989,8.844195
58.414376,8.764065
58.3607,8.69199
58.330383,8.630495
58.314236,8.582044
58.265751,8.529866
58.240748,8.450667
58.188234,8.361219
58.177956,8.325713
58.1524,8.291238
58.114522,8.235333
58.110585,8.196199
58.136663,8.193404
58.091875,8.144021
58.084487,8.090912
58.115015,8.072277
58.116983,8.070413
58.127317,7.9996
58.079068,8.038734
58.063591,7.949059
58.062175,7.870627
58.055588,7.740237
58.034917,7.682513
58.010066,7.643068
58.007184,7.606343
58.001058,7.526094
58.012588,7.444484
58.023394,7.280584
58.024114,7.120765
57.986279,7.084041
57.979068,7.059933
57.981592,7.03273
57.995291,7.027289
58.023081,7.03409
58.045764,7.064014
58.061597,7.11094
58.054761,7.071495
58.032804,7.02933
58.004348,7.023889
57.991373,6.988525
58.040005,6.965402
