latitude,longitude
55.30194157,5.01523269
55.25,5.15
55.25,5.40333333
55.51119444,5.75
55.24751802,7.13342189
55.21133837,7.32324439
55.16761111,7.55266667
55.10051997,7.92379014
55.08935513,7.9855499
55.07359021,8.26559743
55.07131651,8.30598724
55.06699498,8.38275481
55.07628577,8.42037401
55.07910632,8.42394381
55.08040206,8.42924251
55.07993018,8.43043165
55.07828234,8.43348214
55.07477433,8.4406798
55.07303378,8.4437392
55.07022871,8.45081543
55.06859841,8.45307495
55.06848504,8.45323209
55.06401025,8.46342522
55.06347282,8.46536532
55.05702767,8.47729811
55.05638073,8.47863154
55.04487258,8.48644777
55.04468831,8.4865719
55.04450307,8.48669567
55.04431685,8.48681909
55.04415802,8.4869235
55.04405517,8.48696946
55.04387186,8.48705057
55.0436879,8.48713117
55.04350329,8.48721125
55.04331803,8.48729082
55.04313212,8.48736988
55.04294556,8.48744843
55.04275834,8.48752646
55.04257047,8.48760397
55.04238196,8.48768098
55.04219279,8.48775747
55.04200297,8.48783344
55.0418125,8.48790891
55.04162137,8.48798386
55.0414296,8.48805829
55.04123717,8.48813221
55.0410441,8.48820562
55.04085037,8.48827852
55.04065599,8.4883509
55.04046096,8.48842277
55.04026528,8.48849412
55.04006895,8.48856496
55.03987196,8.48863529
55.03967433,8.48870511
55.03947604,8.48877441
55.03927711,8.48884319
55.03907752,8.48891147
55.03887728,8.48897923
55.03867639,8.48904647
55.03847484,8.48911321
55.03827265,8.48917943
55.03806981,8.48924513
55.03786631,8.48931032
55.03766216,8.489375
55.03745736,8.48943917
55.03502616,8.4901924
55.03487776,8.49023871
55.03472921,8.49028541
54.99702672,8.50222311
54.98941636,8.50463278
54.97204235,8.51574067
54.97170677,8.51595474
54.97168552,8.51596826
54.97168695,8.51599028
54.97168855,8.51601469
54.97169651,8.51613557
54.9716987,8.51616941
54.97170822,8.51631416
54.97171045,8.51634854
54.97171993,8.51649275
54.9717222,8.51652768
54.97173165,8.51667133
54.97173395,8.51670681
54.97174336,8.51684992
54.9717457,8.51688595
54.97175508,8.51702851
54.97175744,8.51706508
54.97176679,8.5172071
54.97176919,8.51724421
54.9717785,8.51738568
54.97178094,8.51742335
54.97179022,8.51756427
54.97179269,8.51760248
54.97180193,8.51774286
54.97180444,8.51778161
54.97181365,8.51792145
54.97181619,8.51796075
54.97182536,8.51810003
54.97182794,8.51813988
54.97183707,8.51827862
54.97183969,8.51831901
54.97184879,8.51845721
54.97185144,8.51849815
54.9718605,8.51863579
54.97186319,8.51867728
54.97187222,8.51881438
54.97187494,8.51885642
54.97188393,8.51899297
54.97188669,8.51903555
54.97189564,8.51917156
54.97189844,8.51921468
54.97190736,8.51935015
54.97191019,8.51939382
54.97191907,8.51952873
54.97192194,8.51957295
54.97193079,8.51970732
54.97193369,8.51975208
54.9719425,8.51988591
54.97194544,8.51993122
54.97195421,8.52006449
54.97195719,8.52011035
54.97196593,8.52024308
54.97196894,8.52028949
54.97197764,8.52042167
54.97198069,8.52046862
54.97198935,8.52060026
54.97199244,8.52064775
54.97200107,8.52077884
54.97200418,8.52082689
54.97201278,8.52095743
54.97201593,8.52100602
54.9720245,8.52113602
54.97202768,8.52118515
54.97203621,8.52131461
54.97203943,8.52136429
54.97204792,8.52149319
54.97205118,8.52154342
54.97205964,8.52167178
54.97206293,8.52172255
54.97207135,8.52185037
54.97207468,8.52190169
54.97208307,8.52202896
54.97208643,8.52208082
54.97209478,8.52220754
54.97209818,8.52225996
54.97210649,8.52238613
54.97210993,8.52243909
54.97211821,8.52256472
54.97212168,8.52261822
54.97212992,8.52274331
54.97213343,8.52279736
54.97214164,8.52292189
54.97214518,8.52297649
54.97215335,8.52310048
54.97215693,8.52315562
54.97216506,8.52327907
54.97216868,8.52333476
54.97217678,8.52345766
54.97218043,8.52351389
54.97218849,8.52363624
54.97219218,8.52369303
54.97220021,8.52381483
54.97220393,8.52387216
54.97221192,8.52399342
54.97221568,8.52405129
54.97222363,8.52417201
54.97222743,8.52423043
54.97223535,8.52435059
54.97223917,8.52440956
54.97224706,8.52452918
54.97225092,8.52458869
54.97225878,8.52470777
54.97226267,8.52476783
54.97227049,8.52488635
54.97227442,8.52494696
54.9722822,8.52506494
54.97228617,8.52512609
54.97229392,8.52524353
54.97229792,8.52530523
54.97230563,8.52542212
54.97230967,8.52548436
54.97231734,8.5256007
54.97232142,8.5256635
54.97232906,8.52577929
54.97233317,8.52584263
54.97234077,8.52595788
54.97234492,8.52602176
54.97235249,8.52613647
54.97235667,8.5262009
54.97236849,8.52638003
54.97238048,8.52655915
54.97239266,8.52673828
54.97240503,8.52691739
54.97241757,8.5270965
54.9724303,8.52727561
54.9724432,8.52745471
54.97245629,8.5276338
54.97246957,8.52781289
54.97248302,8.52799197
54.97249666,8.52817105
54.97251048,8.52835013
54.97252448,8.52852919
54.97253866,8.52870826
54.97255303,8.52888731
54.97256757,8.52906637
54.9725823,8.52924541
54.97259722,8.52942445
54.97261231,8.52960349
54.97262759,8.52978252
54.97264305,8.52996155
54.97265869,8.53014057
54.97267451,8.53031958
54.97269051,8.53049859
54.9727067,8.5306776
54.97272307,8.53085659
54.97273962,8.53103559
54.97275635,8.53121458
54.97277327,8.53139356
54.97279037,8.53157254
54.97280765,8.53175151
54.97282511,8.53193048
54.97284275,8.53210944
54.97286058,8.53228839
54.97287859,8.53246734
54.97289678,8.53264629
54.97291515,8.53282523
54.97293371,8.53300417
54.97295244,8.5331831
54.97297136,8.53336202
54.97299046,8.53354094
54.97300975,8.53371985
54.97302921,8.53389876
54.97304886,8.53407766
54.97306869,8.53425656
54.9730887,8.53443545
54.97310889,8.53461434
54.97312927,8.53479322
54.97314983,8.5349721
54.97317057,8.53515097
54.97319149,8.53532984
54.9732126,8.5355087
54.97323388,8.53568755
54.97325535,8.5358664
54.97327701,8.53604525
54.97329884,8.53622409
54.97332085,8.53640292
54.97334305,8.53658175
54.97336543,8.53676057
54.97338799,8.53693939
54.97341074,8.5371182
54.97343366,8.53729701
54.97345677,8.53747581
54.97348006,8.53765461
54.97350354,8.5378334
54.97352719,8.53801219
54.97355103,8.53819097
54.97357505,8.53836974
54.97359925,8.53854851
54.97362363,8.53872728
54.9736482,8.53890604
54.97367295,8.53908479
54.97369788,8.53926354
54.97372299,8.53944229
54.97374828,8.53962102
54.97377376,8.53979976
54.97379942,8.53997848
54.97382526,8.54015721
54.97385128,8.54033592
54.97387748,8.54051464
54.97390387,8.54069334
54.97393044,8.54087204
54.97395719,8.54105074
54.97398413,8.54122943
54.97401124,8.54140811
54.97403854,8.54158679
54.97406602,8.54176547
54.97409368,8.54194414
54.97412153,8.5421228
54.97414955,8.54230146
54.97417776,8.54248011
54.97420615,8.54265876
54.97423472,8.5428374
54.97426348,8.54301604
54.97429242,8.54319467
54.97432154,8.5433733
54.97435084,8.54355192
54.97438032,8.54373054
54.97440999,8.54390915
54.97443983,8.54408775
54.97444949,8.54414517
54.97446072,8.54426662
54.97447745,8.54444561
54.97449437,8.54462459
54.97451146,8.54480357
54.97452873,8.54498254
54.97454618,8.54516151
54.97456381,8.54534047
54.97458162,8.54551943
54.97459961,8.54569838
54.97461778,8.54587733
54.97463613,8.54605627
54.97465465,8.5462352
54.97467336,8.54641413
54.97469225,8.54659306
54.97471131,8.54677198
54.97473056,8.54695089
54.97474998,8.5471298
54.97476959,8.54730871
54.97478937,8.54748761
54.97480933,8.5476665
54.97482948,8.54784539
54.9748498,8.54802427
54.9748703,8.54820315
54.97489098,8.54838203
54.97491184,8.54856089
54.97493288,8.54873975
54.9749541,8.54891861
54.9749755,8.54909746
54.97499708,8.54927631
54.97501884,8.54945515
54.97504077,8.54963399
54.97506289,8.54981282
54.97508518,8.54999165
54.97510766,8.55017047
54.97513031,8.55034928
54.97515315,8.55052809
54.97517616,8.5507069
54.97519936,8.5508857
54.97522273,8.55106449
54.97524628,8.55124328
54.97527001,8.55142206
54.97529392,8.55160084
54.97531801,8.55177962
54.97534228,8.55195838
54.97536673,8.55213715
54.97539136,8.55231591
54.97541617,8.55249466
54.97544116,8.5526734
54.97546632,8.55285215
54.97549167,8.55303088
54.9755172,8.55320962
54.9755429,8.55338834
54.97556879,8.55356706
