latitude,longitude
54.11134553,-6.29110074
54.11154817,-6.29102755
54.11224576,-6.29077561
54.11222297,-6.29069362
54.11219858,-6.29062689
54.11217725,-6.2905493
54.11215143,-6.29047816
54.11211051,-6.29032774
54.11210436,-6.29029453
54.11207114,-6.2901769
54.11206117,-6.29012578
54.11204993,-6.29008742
54.11203195,-6.29002601
54.1120178,-6.28995708
54.11199293,-6.28987507
54.11197671,-6.28979979
54.11197525,-6.28978817
54.11194215,-6.28963799
54.1119395,-6.2896176
54.11190762,-6.28947617
54.11190371,-6.28944704
54.11188487,-6.28936527
54.11187313,-6.28931435
54.11186789,-6.28927649
54.11183869,-6.28915252
54.11183202,-6.28910595
54.11180428,-6.28899069
54.11179612,-6.28893542
54.11176991,-6.28882885
54.11174581,-6.28867043
54.11174454,-6.2886654
54.11171841,-6.28850208
54.1117178,-6.28849317
54.11170654,-6.28842607
54.1116919,-6.28833884
54.11169013,-6.28831587
54.1116655,-6.28817557
54.11166313,-6.28814763
54.11166321,-6.28813846
54.11164875,-6.28797352
54.11164886,-6.2879593
54.11163438,-6.2877994
54.11163449,-6.28778014
54.11162002,-6.28762529
54.11162011,-6.28760099
54.11160566,-6.28745118
54.11160571,-6.28742628
54.11160572,-6.28742183
54.11159132,-6.28727706
54.11159133,-6.28724268
54.11157699,-6.28710295
54.11157692,-6.28706353
54.11156267,-6.28692883
54.1115625,-6.28688438
54.11154835,-6.28675472
54.11154807,-6.28670523
54.11153405,-6.28658061
54.11153382,-6.2865501
54.11151876,-6.28640651
54.11151878,-6.28638905
54.11151027,-6.28630127
54.11150359,-6.28623242
54.11150363,-6.28622802
54.11148929,-6.28606685
54.11148766,-6.28605835
54.11148175,-6.28598522
54.11148359,-6.28590433
54.11147679,-6.28581964
54.11147775,-6.28578273
54.11147882,-6.28574166
54.11147184,-6.28565406
54.11147405,-6.28557899
54.11146688,-6.28548847
54.11147187,-6.28533823
54.11147055,-6.28532373
54.11147267,-6.28523228
54.11147436,-6.285159
54.11147439,-6.28515879
54.1114765,-6.28499411
54.11147846,-6.28497926
54.11147873,-6.28484137
54.11147875,-6.28482923
54.11148239,-6.28479973
54.11148114,-6.28466436
54.11148619,-6.28462021
54.11148366,-6.2844995
54.11148984,-6.2844407
54.11148633,-6.28433466
54.11149334,-6.2842612
54.11148831,-6.28415139
54.11149468,-6.28408183
54.11149169,-6.28402467
54.11148929,-6.28397897
54.11149599,-6.28390247
54.1114903,-6.28380655
54.11149472,-6.28375359
54.11148725,-6.28363383
54.1114919,-6.28357858
54.1114842,-6.28346111
54.11148634,-6.28343585
54.11148908,-6.28340357
54.11148114,-6.28328838
54.11148627,-6.28322856
54.11147808,-6.28311566
54.11148347,-6.28305355
54.11147019,-6.28287967
54.11145879,-6.2828332
54.11145265,-6.28276679
54.11144711,-6.28270685
54.11143926,-6.28267677
54.11142559,-6.28255087
54.11141747,-6.28252067
54.11141042,-6.28246026
54.1114018,-6.28238641
54.11139575,-6.28236457
54.11139051,-6.28232261
54.11138837,-6.28222057
54.11135899,-6.28205685
54.11133467,-6.28198626
54.11131542,-6.281895
54.11131058,-6.281882
54.1112942,-6.28180603
54.11127831,-6.2817323
54.11127509,-6.28172367
54.11124906,-6.28160536
54.11124191,-6.28158636
54.11123461,-6.28156695
54.11120672,-6.28144334
54.1111706,-6.28134816
54.11115611,-6.28128295
54.11111821,-6.28118072
54.11111269,-6.28115554
54.11110548,-6.28112257
54.11106584,-6.28101327
54.11105482,-6.28096219
54.1110135,-6.28084581
54.11101085,-6.28083338
54.11096314,-6.28069669
54.11095829,-6.28067376
54.11090964,-6.28053276
54.11090572,-6.28051413
54.11085614,-6.28036883
54.11085315,-6.28035451
54.11080265,-6.2802049
54.11080057,-6.2801949
54.11076686,-6.28009396
54.11073245,-6.28002103
54.11070442,-6.27993574
54.11066722,-6.27985565
54.11064194,-6.27977754
54.11060201,-6.27969026
54.11057942,-6.27961935
54.11053685,-6.27952485
54.11051687,-6.27946117
54.11045604,-6.2793241
54.11037655,-6.2791857
54.11028151,-6.27905298
54.11017092,-6.27892594
54.11004478,-6.27880458
54.11003053,-6.27879295
54.11002406,-6.27878348
54.10997326,-6.27869435
54.10989092,-6.27857299
54.10988507,-6.27856255
54.10979744,-6.27843054
54.10979204,-6.27842357
54.10971053,-6.27829823
54.10969268,-6.27827463
54.10962341,-6.27816602
54.10958037,-6.27810782
54.1095369,-6.27803938
54.10948664,-6.27797165
54.10943943,-6.27789795
54.10941836,-6.27786964
54.10939291,-6.27783547
54.10934195,-6.27775652
54.1092992,-6.27769928
54.10925431,-6.27763025
54.10917658,-6.27753772
54.10909157,-6.27744711
54.10907915,-6.27743231
54.10904626,-6.27739711
54.10900871,-6.27736465
54.10899936,-6.2773574
54.10898495,-6.27734624
54.10889997,-6.27727261
54.10889302,-6.2772672
54.10887288,-6.27725296
54.10881944,-6.27721064
54.10879709,-6.27719294
54.10875745,-6.27716437
54.10870102,-6.27711885
54.10864421,-6.27707711
54.10858454,-6.27702797
54.1085269,-6.27698554
54.10846891,-6.27693773
54.1084202,-6.27690179
54.10839038,-6.27685915
54.10813563,-6.27644442
54.10805478,-6.27632766
54.10803682,-6.27630452
54.10794426,-6.27616845
54.10787782,-6.27605641
54.10746434,-6.27571915
54.10745306,-6.27571097
54.10739366,-6.27566315
54.107344,-6.27562318
54.10734113,-6.27562063
54.10723462,-6.27553599
54.10709215,-6.27541107
54.10709066,-6.27541052
54.10698702,-6.27536577
54.10696866,-6.27535895
54.1069511,-6.27535243
54.10684699,-6.27530749
54.10681154,-6.27529434
54.1067283,-6.27525842
54.10662662,-6.27515039
54.10658877,-6.27510595
54.10653047,-6.27504595
54.10645835,-6.27496316
54.10642526,-6.27493011
54.10642044,-6.27492472
54.10632769,-6.27482088
54.10632063,-6.27481406
54.10621454,-6.27469854
54.10611821,-6.27457945
54.10609008,-6.2745396
54.10599908,-6.27442675
54.10599862,-6.27442608
54.10595835,-6.27437463
54.10590838,-6.27431077
54.10588737,-6.27428746
54.10578049,-6.27414626
54.10570287,-6.27402192
54.10569404,-6.27400989
54.10568671,-6.27399989
54.10562831,-6.27390247
54.10558908,-6.2738472
54.10554752,-6.27380422
54.10550109,-6.27376298
54.1054774,-6.27373788
54.10544984,-6.27370869
54.10538992,-6.27365452
54.10528621,-6.2735417
54.10519531,-6.2734214
54.10507109,-6.27321814
54.10505659,-6.27319954
54.10497709,-6.27307009
54.10496441,-6.27305381
54.10488309,-6.27292204
54.10487222,-6.27290809
54.10483736,-6.27285186
54.10479791,-6.27276953
54.10475394,-6.27269856
54.10471442,-6.27261617
54.10467052,-6.27254526
54.10465838,-6.27251999
54.10463606,-6.2724602
54.10459838,-6.27238503
54.10456522,-6.27230044
54.1045388,-6.27224992
54.10449398,-6.27214087
54.1044263,-6.27201683
54.104412,-6.27198296
54.10438305,-6.27193063
54.10435242,-6.27187527
54.1043342,-6.27183283
54.1042514,-6.27168518
54.10415264,-6.27154545
54.10410026,-6.27148528
54.10404567,-6.27140979
54.10400312,-6.27136157
54.10393859,-6.27127418
54.10382176,-6.27114342
54.10381419,-6.27113632
54.10375618,-6.27107381
54.10371755,-6.27103841
54.1036935,-6.27101319
54.10364104,-6.27095818
54.10362107,-6.27094025
54.10352566,-6.2708427
54.1034014,-6.2707333
54.1034011,-6.27073265
54.10338207,-6.27069807
54.10333178,-6.27058991
54.10331635,-6.27056214
54.10326244,-6.27044718
54.10325067,-6.27042621
54.10319307,-6.27030447
54.10314674,-6.27022276
54.1030972,-6.27015028
54.10305128,-6.27007138
54.10301509,-6.27001976
54.10295558,-6.26992016
54.10293323,-6.2698891
54.10285963,-6.26976912
54.10285164,-6.26975829
54.10276946,-6.26962781
54.10276413,-6.26961776
54.10262848,-6.269408
54.10254216,-6.26929555
54.10252731,-6.26927313
54.10245282,-6.26917799
54.10242594,-6.26913836
54.10236363,-6.26906028
54.1023244,-6.2690037
54.10227459,-6.26894243
54.10222267,-6.26886914
54.1020407,-6.26864924
54.10197221,-6.26857807
54.10191757,-6.2685123
54.10184955,-6.26844144
54.10179444,-6.26837536
54.10172688,-6.26830481
54.10167131,-6.26823842
54.10164586,-6.26821178
54.1015299,-6.2681034
54.10141552,-6.26800767
54.10140652,-6.26799938
54.10134529,-6.26794868
54.10133081,-6.26793669
54.10130331,-6.26791815
54.1012689,-6.26789258
54.10122973,-6.26786621
54.10118763,-6.26783786
54.10115086,-6.26781063
54.1011019,-6.2677777
54.10108417,-6.26776316
54.10103733,-6.26772477
54.10100158,-6.26769803
54.10098709,-6.26768602
54.10097631,-6.26766992
54.10089709,-6.26756256
54.10089055,-6.26755269
54.10088776,-6.26754887
54.1008048,-6.26743546
54.10080393,-6.26743438
54.10075426,-6.26736587
54.10073979,-6.26734327
54.10072199,-6.26731547
54.10067211,-6.26724519
54.10065247,-6.26722008
54.10058945,-6.26712901
54.10054844,-6.26707539
54.10050649,-6.26701313
54.1004448,-6.2669305
