latitude,longitude
69.78218806,30.86351335
69.78465, 30.82715
69.78929, 30.82156
69.79129, 30.82153
69.79308, 30.81958
69.79485, 30.81764
69.79844, 30.82318
69.80025, 30.82596
69.80244, 30.82933
69.80505, 30.83333
69.80772, 30.83746
69.82529, 30.86456
69.82823, 30.86911
69.856, 30.91206
69.86621, 30.92788
69.87004, 30.93381
69.93689, 31.03789
69.9395, 31.04196
69.94081, 31.04401
69.94173, 31.04544
69.94292, 31.04731
69.94409, 31.04913
69.94706, 31.05378
69.95398, 31.06462
69.97057, 31.09062
69.976, 31.09914
69.97873, 31.10342
69.9793, 31.10432
70.0415, 31.2795
70.04224, 31.28158
70.06775, 31.3539
70.06892, 31.35722
70.07051, 31.36173
70.07343, 31.37005
70.10533, 31.46093
70.1191, 31.50027
70.12016, 31.50329
70.12089, 31.50539
70.1212, 31.50648
70.12454, 31.51818
70.12815, 31.53082
70.13433, 31.5525
70.13548, 31.55655
70.13707, 31.56213
70.13856, 31.56734
70.14048, 31.57411
70.14165, 31.57818
70.14367, 31.58531
70.14377, 31.58557
70.16842, 31.67207
70.1929, 31.75869
70.19771, 31.77559
70.22103, 31.86515
70.23971, 31.93744
70.25496, 31.99623
70.27066, 32.05709
70.27472, 32.07305
70.45585, 32.2889
70.60587, 32.47128
70.60769, 32.47351
70.60854, 32.47456
70.61053, 32.47698
70.61603, 32.48373
70.61756, 32.48558
70.63314, 32.50469
70.64243, 32.51613
70.64692, 32.52164
70.65791, 32.5351
70.67954, 32.56179
70.68657, 32.57048
70.69453, 32.58029
70.71538, 32.6061
70.74145, 32.63844
70.7614, 32.66325
70.76624, 32.66926
70.77324, 32.67801
70.77929, 32.68552
70.79008, 32.699
70.79707, 32.70772
71.01728, 32.98615
71.03961, 33.01485
71.05216, 33.03094
71.16574, 33.17783
71.23308, 33.26573
71.52381, 33.6532
71.56963, 33.71541
71.60851, 33.7685
71.6501, 33.82554
72.02402, 34.35094
72.40886, 34.91641
72.43881, 34.96152
72.44424, 34.96972
72.47141, 35.01081
72.52111, 35.08621
72.5462, 35.12454
72.58586, 35.18538
72.74718, 35.43584
72.7927, 35.50738
72.90187, 35.68068
72.93445, 35.73287
72.94669, 35.75251
73.03555,35.89619
73.0133204,36.07665051
73.01261494,36.08195188
73.01119888,36.09255282
73.01048885,36.09784813
73.0076379,36.11902387
73.00692321,36.12431077
73.0054891,36.13487985
73.00477024,36.14015776
72.99899337,36.18237916
72.99826934,36.18764684
72.99681615,36.1981802
72.99608757,36.20344163
72.99316246,36.22448139
72.99242927,36.22973423
72.99095814,36.24023496
72.9902208,36.24547863
72.98429609,36.28742491
72.98355361,36.29265812
72.98206354,36.30312233
72.98131654,36.3083491
72.97831777,36.32924977
72.97756618,36.33446775
72.9760583,36.34489858
72.9753026,36.35010722
72.96923103,36.39177219
72.96847024,36.39697015
72.96694354,36.40736366
72.96617825,36.41255499
72.96310631,36.43331349
72.96233646,36.43849585
72.96079206,36.44885524
72.96001814,36.4540281
72.95380074,36.49540563
72.95302176,36.5005676
72.95145868,36.51088888
72.95067522,36.51604403
72.94753064,36.53665731
72.94674265,36.5418033
72.945162,36.55208975
72.94436997,36.55722606
72.94382517,36.56074418
72.94288625,36.56692856
72.94127703,36.57745213
72.93485477,36.61912983
72.93405004,36.62432974
72.93243536,36.63472657
72.93162605,36.6399193
72.92837785,36.66068219
72.92756371,36.66586672
72.92593065,36.67622991
72.92511194,36.68140713
72.92500839,36.68205984
72.92473983,36.68375077
72.92420224,36.68713179
72.92393328,36.68882138
72.92285618,36.69557956
72.9225868,36.69726768
72.92204743,36.70064389
72.92177767,36.70233063
72.91961491,36.71583462
72.91851515,36.72266995
72.91630773,36.73632692
72.91520051,36.74314582
72.91075412,36.77039575
72.90963903,36.77719637
72.90740068,36.79078557
72.90627819,36.79756951
72.89932492,36.83937464
72.89757505,36.84981488
72.89675407,36.85489126
72.89293983,36.87812421
72.88536534,36.92355364
72.88153613,36.94617642
72.87423724,36.98866
72.87332297,36.99395888
72.87148879,37.00455221
72.87056961,37.00984239
72.86688107,37.03099185
72.86595697,37.03627075
72.86410361,37.04682119
72.86317511,37.05208846
72.85571844,37.09421116
72.85526738,37.09675274
72.8547845,37.09946485
72.85291097,37.10996757
