longitude,latitude,harbor,factory,type
-6.796843008566128,62.23438288683252,fuglafjordur,pelagos,pelagic
-6.799959801238288,62.236274795846185,fuglafjordur,pelagos,pelagic
-6.800862306861177,62.235996150032264,fuglafjordur,pelagos,pelagic
-6.797818973948438,62.23402600180327,fuglafjordur,pelagos,pelagic
-6.804335731252763,61.552291817704116,tvoroyri,vardin,pelagic
-6.803156893738702,61.55307797342019,tvoroyri,vardin,pelagic
-6.810478095140809,61.55426603562975,tvoroyri,vardin,pelagic
-6.811160580016832,61.55364541179017,tvoroyri,vardin,pelagic
-6.801785125576259,62.23784344947396,fuglafjordur,havsbrun,pelagic
-6.804915723089437,62.240057484076885,fuglafjordur,havsbrun,pelagic
-6.8065959061573835,62.23964278301767,fuglafjordur,havsbrun,pelagic
-6.802474431450747,62.23748892128367,fuglafjordur,havsbrun,pelagic
-7.168238834545264,62.15343680886528,vestmanna,vestmanna_seafood,pelagic
-7.1684035430208155,62.1523404479743,vestmanna,vestmanna_seafood,pelagic
-7.163448563056562,62.15227633207331,vestmanna,vestmanna_seafood,pelagic
-7.16420347690206,62.154174105259784,vestmanna,vestmanna_seafood,pelagic
-6.926539011761463,62.10291680280221,kollafjordur,faroe_pelagic,pelagic
-6.9374840877989925,62.10122048808654,kollafjordur,faroe_pelagic,pelagic
-6.936648783019251,62.100354162506136,kollafjordur,faroe_pelagic,pelagic
-6.925781209056282,62.10231645527418,kollafjordur,faroe_pelagic,pelagic
-6.581432548830492,62.254632285233555,nordhavnin,north_pelagic,freezing
-6.583188317472292,62.254632285233555,nordhavnin,north_pelagic,freezing
-6.583496147039682,62.25111307492125,nordhavnin,north_pelagic,freezing
-6.5818657904438,62.25107591666253,nordhavnin,north_pelagic,freezing
