latitude,longitude
55.8202826116,14.8473700294
58.9360009119,11.6760837366
58.8945777969,11.5848469863
58.8893820467,11.5001148512
58.9410400705,11.4621643712
59.0135471635,11.4426067088
59.0771479694,11.3893333258
59.0995768886,11.2890427202
59.031704624,11.1265622205
58.9604495396,10.9831934844
58.9205501343,10.7961174017
58.7609603853,10.5930951581
58.7710896265,10.3637607164
58.7582802979,10.1494565851
58.7252881905,9.988043996
58.6722786923,9.7883582058
58.6033108353,9.6688765549
58.5236356393,9.5316520073
58.4256648824,9.3640874949
58.2502714138,9.0672691719
58.1758135018,8.9424713328
58.0813692804,8.7538233493
58.0186140347,8.6245264093
57.9609819466,8.5058767859
57.9172340459,8.3716802772
57.8685474499,8.1784279057
57.8308789988,8.0090328964
57.7936873123,7.8418329986
57.7646693687,7.6765697964
57.7599001582,7.4657077086
57.7616816818,7.2578090651
57.7877472494,6.9348744736
57.8188928389,6.7724751795
57.8718225027,6.5291121279
57.9136824358,6.3926055965
57.9684016418,6.2752139623
58.0208461355,6.1645292953
58.0774899451,6.0443651585
58.1583308203,5.871745752
58.2737244086,5.6230191747
58.3325082534,5.5195420894
58.3945286628,5.415605287
58.4508810762,5.3330982464
58.5306127828,5.2469740284
58.5909264293,5.1862376035
58.6841851138,5.1221029398
58.7598457758,5.0830050363
58.827731738,5.049144699
58.9193324252,5.0076638092
59.0006408036,4.8951631647
59.0708772938,4.7173588731
59.117612161,4.59892363
59.1715022528,4.5106978594
59.2386127849,4.4630168904
59.3048867165,4.4561757466
59.3688886,4.4835127925
59.4442978781,4.5312365692
59.5581631449,4.6036884866
59.6649577402,4.6720733807
59.7589254609,4.6525199086
59.865813631,4.6212117901
60.0468128935,4.5649854896
60.169823619,4.526353383
60.2722160167,4.4939343644
60.3949367724,4.4273614169
60.5129398862,4.3628041736
60.6878205236,4.2661360374
60.8333525555,4.1847707104
60.9761943328,4.1040828264
61.0711077324,4.0875259001
61.1576231694,4.0955443847
61.2299509261,4.102969969
61.3514402922,4.1154816771
61.4908289971,4.1298979653
61.6616996955,4.1476617402
61.7834636738,4.2264938832
61.8496338197,4.2832957519
62.0131568438,4.4247482653
62.1059085113,4.5061424421
62.1808440443,4.5789194144
62.2706680466,4.6670309951
62.3769871265,4.8090882158
62.444836563,4.9035926136
62.6235401187,5.2549253595
62.7476639349,5.5086045854
62.8119855645,5.641250061
62.9270821321,5.8878225151
62.9955741191,6.0581678741
63.0913314763,6.3380717908
63.1459638012,6.4993038033
63.2463973437,6.7986877554
63.3096740603,6.918654136
63.4289274199,7.1106587093
63.5807824027,7.3580270388
63.6416653882,7.4410322587
63.7681676637,7.6480939355
64.0310719512,8.0901448475
64.1405846347,8.3598268196
64.2401091515,8.6241044861
64.357712159,8.9404759321
64.5472941371,9.325240225
64.7284491744,9.6998119561
64.8698149543,9.9969564554
64.976759985,10.075230887
65.0517450725,10.1487662664
65.2652061503,10.3659464152
65.3483924548,10.451604601
65.4701750002,10.5780603116
65.5375600818,10.6418859277
65.7018104865,10.7986825974
65.9714175909,10.9538863554
66.1721506949,11.0715867627
66.404487499,11.2977724288
66.6677017294,11.5659754427
66.8153714804,11.858834699199999
67.0155966055,11.6675307098
67.3310523372,11.359172085
67.3928691765,11.3127548631
67.4642063787,11.3101198334
67.5378271154,11.3597094643
67.602168117,11.4404135572
67.6713447702,11.6214311083
67.7818210763,11.9877234492
67.8700778151,12.1666036666
68.0000730187,12.272356017
68.0966911536,12.3942962192
68.2357278413,12.584167366399999
68.3117185901,12.7347608712
68.3931785364,13.0036925752
68.4556002709,13.2344021756
68.5409842779,13.388008168
68.6053074194,13.4918034004
68.7336422816,13.7009869033
68.8215869867,13.8070642895
68.8972777339,13.9486052317
69.0010250731,14.1889040453
69.0674862564,14.3444523408
69.183237682,14.6184295764
69.2381373179,14.7505073235
69.3159722479,15.0220834679
69.3881936017,15.2879534264
69.4980050985,15.6985965681
69.5967005941,16.2543507999
69.649421779,16.5703977149
69.6948971126,16.8114758827
69.745043058,17.0555145181
69.8115435836,17.1600465202
69.9777491299,17.4246688956
70.0742450286,17.6146089504
70.168416669,17.8052486578
70.3404504056,18.1630473102
70.395010916,18.337538885
70.4794114843,18.7988990346
70.5608336949,19.3859240319
70.6016582947,19.6915786507
70.7036163425,20.4797325209
70.7900180402,21.1759275307
70.8529742203,21.7011907022
70.9009490389,21.9119416541
70.9747865401,22.2404481861
71.0246025085,22.4649891868
71.1042892809,22.8470056621
71.1862281177,23.2474599183
71.2659565042,23.644575183
71.2987191056,23.9611279636
71.3081184002,24.3421059243
71.3140845371,24.6292528632
71.3356768906,24.9197932157
71.3803463039,25.5434536739
71.3791699812,25.9637019126
71.3619909457,26.6811037137
71.3517833851,27.0606973586
71.3322778609,27.717781541
71.2968248092,28.2996266057
71.1206909549,29.1607779831
71.0235949361,29.5661419854
70.9447524327,30.025423695
70.8824924925,30.3810362962
70.8322954039,30.5884825976
70.668577791,31.1420388543
70.5452384915,31.5487104869
70.4846885429,31.6875862682
70.4112294708,31.7575180026
70.3437635908,31.7468705733
70.1370030069,32.197090604
68.9268518356,42.3497308656
68.9845459256,42.4253726241
69.0497661652,42.5077991007
69.1154504583,42.5875531929
69.1815840944,42.664595243
69.2481521645,42.7388817964
69.315138895,42.8103715707
69.3825264444,42.8790221407
69.45030095,42.9447914192
69.5184437749,43.0076368755
69.5869398878,43.0675155672
69.6557725502,43.1243856603
69.7249229519,43.1782050672
69.7943753071,43.2289311309
69.8641107943,43.276520146
69.9341114588,43.3209298924
70.0043604818,43.3621186607
70.0748381391,43.4000439433
70.1455264259,43.434662047
70.2128848186,43.4644660404
70.2839277051,43.4925514632
70.3551246358,43.5172054179
70.4264557613,43.5383860713
70.4979010856,43.556051887
70.5694427607,43.5701604351
70.6410578201,43.5806712551
70.7127263856,43.587542138
70.7844273677,43.5907326941
70.8561408807,43.5902030681
70.9278438906,43.5859120235
70.9995164478,43.5778206886
71.0711354371,43.5658901091
71.1426798055,43.5500803904
71.2141255881,43.5303542074
71.285452689,43.5066750699
71.3566358999,43.4790038575
71.4276532186,43.447306917
71.4984825972,43.411548159
71.5690976724,43.3716944104
71.6394775382,43.3277106082
71.7095978017,43.2795651719
71.779433447,43.2272278473
71.8489601904,43.1706681935
71.9181549486,43.1098576778
71.9909305557,43.0410112335
72.0764307467,42.9535163602
72.1612844691,42.8592488024
72.2454420969,42.7581650198
72.3288542909,42.6502269426
72.4114724939,42.5354017945
72.4932462107,42.4136595667
72.5648642457,42.3004620294
72.64499911,42.1662262965
72.7241491377,42.0250198502
72.8022629776,41.8768370036
72.8792910241,41.7216744303
72.9551799925,41.5595405939
73.0298824354,41.3904492153
73.103345856,41.2144215442
73.1755211211,41.0314845566
73.2463557082,40.8416778258
73.4312958253,40.3249412019
73.5702522488,39.9267956816
73.645664864,39.701635812
73.7126132638,39.4899064565
73.775210313,39.2825358718
73.8388901607,39.0638711914
73.901992053,38.8351047522
73.963449824,38.5997379181
74.023215523,38.3578727142
74.0812429542,38.109623596
74.1374863195,37.8551140609
74.1919014689,37.5944781993
74.244444629,37.3278616243
74.3073595518,37.0872803733
74.3747370384,36.8200965169
74.4340881798,36.5706078316
74.491684258,36.3145645495
74.5474794899,36.0520942119
74.6014287242,35.7833381129
74.6534871603,35.5084474128
74.7036126654,35.2275845001
74.7517625215,34.9409220687
74.7978966025,34.648642318
74.8419752017,34.3509418018
74.883959242,34.0480236997
74.9238138323,33.7401039422
74.9615031274,33.4274093865
74.9969931834,33.110173664
75.0302531127,32.7886428954
75.0612530203,32.4630705736
75.0899639474,32.1337211405
75.1163589861,31.8008658246
75.1418625021,31.445379161
75.1919070054,30.6594477016
75.2141535999,30.271771886
75.2312262194,29.9271277739
75.2458824982,29.5804139743
75.2581103507,29.2319431182
75.2704502203,28.8292736619
75.2902475238,28.1287166038
75.3079741915,27.4264262245
75.3236231841,26.7225861147
75.3298586135,26.3581218431
75.33338892,26.0047637579
75.3344541774,25.6511023826
75.3330533826,25.2974618712
75.3291864966,24.9441700237
75.3228586311,24.5915514523
75.3140757304,24.2399295895
75.3028458137,23.8896265416
75.2891798269,23.540958633
75.2730899302,23.1942418648
75.2545929094,22.8497839218
75.2337049303,22.507889909
75.2142759505,22.1484580706
75.1996729869,21.8024268572
75.182654946,21.4584508413
75.161366991,21.0764099979
75.1398740229,20.7371949193
75.1160180391,20.4008918514
75.0898220328,20.0677889699
75.0613100137,19.7381641467
75.0305069896,19.4122908919
74.9974430081,19.090431099
74.9621469766,18.7728390968
74.9246510166,18.4597608658
74.8849879856,18.15143309
74.8431929745,17.8480798524
74.7993039747,17.5499169749
74.7533569824,17.2571510045
74.7053919704,16.969976085
74.6613240246,16.7205198819
74.6097210288,16.444234129
74.5562190409,16.1740350967
74.5008630131,15.910077905
74.4116819809,15.5040770759
74.2970420294,14.9936389547
74.2072639894,14.3300471498
74.1504580255,13.9219359848
74.0677150032,13.3417030974
74.0218209855,13.035396048
73.9768299731,12.7544470519
73.9298220096,12.4786450452
73.8808360432,12.2081671091
73.7546149905,11.5580539725
73.7022250229,11.3006679582
73.6477309584,11.0477699272
73.5914230073,10.800758889699999
73.5333459584,10.5597639851
73.473545018,10.3249060269
73.4120650184,10.0962931387
73.3489540213,9.8740281053
73.2842589504,9.6582009178
73.2180269556,9.4488958639
73.1503059978,9.2461849855
73.081145028,9.0501338522
73.0105939821,8.8607998883
72.9387009478,8.6782299322
72.8655159745,8.5024659804
72.8060720086,8.3667761221
72.7458579827,8.2354759129
72.6849009472,8.1085751776
72.6232249804,7.986082043
72.5608579313,7.8680001339
72.497822955,7.7543319906
72.3449358916,7.2706389847
72.2176949294,6.8561452477
72.1544088819,6.6573342099
72.0883058135,6.4603691619
72.0207228079,6.2694873492
71.951707755,6.0847512135
71.8813087357,5.9062185125
71.8095727092,5.7339384977
71.7365496556,5.567954465
71.6622866274,5.4083016891
71.5868335075,5.255007706
71.4635224408,5.0174327705
71.3100752521,4.7273640159
71.1562081148,4.4417485476
71.0793689419,4.304447706
71.0165599241,4.1980457932
70.9531047561,4.0956580794
70.8890297038,3.9972840644
70.8243595886,3.9029241396
70.759119477,3.8125745591
70.6963793818,3.7212506127
70.6203462387,3.5780640011
70.5587170153,3.4678610975
70.4814548995,3.3340014984
70.4187626773,3.2300697805
70.3554235316,3.1300092781
70.2914613232,3.0338214346
70.2269001554,2.9415076785
70.161765037,2.8530671848
70.0960817674,2.7684953931
70.0298736179,2.6877876875
69.9631664804,2.6109361237
69.8959832515,2.5379315384
69.8194159287,2.4193939466
69.7567946356,2.3183405227
69.6935243593,2.2210120969
69.6296290885,2.1274145332
69.5651347631,2.0375481513
69.5000655165,1.9514127418
69.4344462144,1.8690073737
69.3682998738,1.7903278871
69.3016516107,1.715368428
69.2345263176,1.6441211262
69.1669479516,1.5765776462
69.0989407349,1.5127282401
69.0305284319,1.4525597026
68.9617351141,1.3960593239
68.892584817,1.3432118317
68.8231015885,1.2940012155
68.7533093013,1.2484096345
68.6832310548,1.206419124
68.612890845,1.168008587
68.5423106949,1.13315793
68.4715144545,1.1018442212
68.4005262802,1.0740454527
68.3293671079,1.0497368142
68.2580599643,1.0288939073
68.1772178367,1.0075150663
68.1057456748,0.9913972925
68.034178572,0.9786725154
67.962538574,0.9693165899
67.8937334701,0.9634706562
67.822014466,0.9606165993
67.7502873825,0.9610456771
67.6785734155,0.9647254699
67.6068934018,0.9716253443
67.5352674403,0.9817152454
67.4637175144,0.9949631864
67.3922636075,1.0113369238
